ENSAMBLE Gene ID,Kidney1,Liver1,Kidney2,Liver2,Liver3,Kidney3,Liver4,Liver5,Kidney4,Liver6,Kidney5,Kidney6,Liver7,Kidney7
ENSG00000146556,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000197194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209342,0,0,0,0,0,2,1,0,4,0,2,3,0,0
ENSG00000209343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209350,4,35,7,32,31,3,29,12,6,34,4,7,25,4
ENSG00000209351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209352,0,2,0,0,0,1,0,0,1,0,0,0,0,0
ENSG00000212679,110,177,131,135,141,149,148,50,112,145,39,118,64,48
ENSG00000212678,12685,9246,13204,9312,8746,12403,8496,7410,13031,9070,11002,13268,7922,10655
ENSG00000185097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000209353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197049,0,1,0,0,0,0,0,1,1,0,0,0,0,0
ENSG00000215918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177757,2,1,0,0,1,2,0,0,1,1,1,3,0,1
ENSG00000177750,1,1,4,2,5,3,1,3,3,1,4,7,4,3
ENSG00000177741,1,4,1,5,3,0,4,2,6,2,1,0,1,0
ENSG00000209354,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198907,6,0,0,1,1,6,0,0,2,0,5,0,1,2
ENSG00000187634,49,27,43,34,23,41,35,31,42,25,50,47,31,46
ENSG00000188976,73,34,77,56,45,68,55,46,70,42,63,82,42,67
ENSG00000187961,15,8,15,13,11,13,12,15,12,20,23,15,16,15
ENSG00000187583,1,0,1,1,0,3,0,1,0,2,4,3,2,3
ENSG00000187642,4,0,5,0,2,12,1,1,9,4,13,9,0,11
ENSG00000188290,9,2,10,3,1,12,2,2,10,1,10,13,6,14
ENSG00000187608,12,15,11,17,5,7,10,14,16,16,6,13,19,7
ENSG00000188157,410,50,414,53,44,350,42,74,462,70,527,472,71,496
ENSG00000131591,10,5,9,9,3,7,6,12,12,11,14,16,10,8
ENSG00000215916,10,5,9,9,3,8,6,12,13,11,14,17,9,8
ENSG00000207730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198976,0,0,0,0,0,0,0,0,1,0,1,1,0,0
ENSG00000205231,1,0,1,0,0,0,0,0,1,0,0,1,0,1
ENSG00000162571,1,0,1,0,0,1,0,0,0,0,0,1,0,1
ENSG00000186891,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186827,2,0,1,0,1,1,0,1,0,0,1,1,0,1
